global_product_id,source_platform_std,total_reviews,avg_rating,avg_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_sentiment_pct,negative_sentiment_pct,review_quality_score,active_days
tiki_35369594,tiki,100,3.87,0.0,0,0,100,0.0,0.0,0.75,1
tiki_24453956,tiki,100,3.99,0.0,0,0,100,0.0,0.0,0.75,1
tiki_72689407,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_4061101,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_35390547,tiki,100,3.97,0.0,0,0,100,0.0,0.0,0.75,1
tiki_67812945,tiki,100,4.41,0.0,0,0,100,0.0,0.0,0.75,1
tiki_67907870,tiki,100,4.48,0.0,0,0,100,0.0,0.0,0.75,1
tiki_67930401,tiki,100,4.71,0.0,0,0,100,0.0,0.0,0.75,1
tiki_35473618,tiki,100,4.79,0.0,0,0,100,0.0,0.0,0.75,1
tiki_194458001,tiki,100,4.33,0.0,0,0,100,0.0,0.0,0.75,1
tiki_194860764,tiki,100,4.37,0.0,0,0,100,0.0,0.0,0.75,1
tiki_90082542,tiki,100,3.5,0.0,0,0,100,0.0,0.0,0.75,1
tiki_71898409,tiki,100,4.69,0.0,0,0,100,0.0,0.0,0.75,1
tiki_12020488,tiki,100,4.63,0.0,0,0,100,0.0,0.0,0.75,1
tiki_67991573,tiki,100,4.75,0.0,0,0,100,0.0,0.0,0.75,1
tiki_120782190,tiki,100,4.5,0.0,0,0,100,0.0,0.0,0.75,1
tiki_390304,tiki,100,4.86,0.0,0,0,100,0.0,0.0,0.75,1
tiki_89637523,tiki,100,4.42,0.0,0,0,100,0.0,0.0,0.75,1
tiki_68360730,tiki,100,4.65,0.0,0,0,100,0.0,0.0,0.75,1
tiki_19772753,tiki,100,4.72,0.0,0,0,100,0.0,0.0,0.75,1
tiki_12204837,tiki,100,4.0,0.0,0,0,100,0.0,0.0,0.75,1
tiki_127695415,tiki,100,4.17,0.0,0,0,100,0.0,0.0,0.75,1
tiki_68526612,tiki,100,4.54,0.0,0,0,100,0.0,0.0,0.75,1
tiki_359483,tiki,100,4.18,0.0,0,0,100,0.0,0.0,0.75,1
tiki_710902,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_359484,tiki,100,4.82,0.0,0,0,100,0.0,0.0,0.75,1
tiki_12276970,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_36007224,tiki,100,4.61,0.0,0,0,100,0.0,0.0,0.75,1
tiki_12300814,tiki,100,4.83,0.0,0,0,100,0.0,0.0,0.75,1
tiki_3716571,tiki,100,4.39,0.0,0,0,100,0.0,0.0,0.75,1
tiki_707881,tiki,100,4.34,0.0,0,0,100,0.0,0.0,0.75,1
tiki_37164065,tiki,100,4.17,0.0,0,0,100,0.0,0.0,0.75,1
tiki_123548101,tiki,100,4.74,0.0,0,0,100,0.0,0.0,0.75,1
tiki_123548222,tiki,100,4.76,0.0,0,0,100,0.0,0.0,0.75,1
tiki_68985833,tiki,100,4.51,0.0,0,0,100,0.0,0.0,0.75,1
tiki_126702028,tiki,100,4.37,0.0,0,0,100,0.0,0.0,0.75,1
tiki_126131828,tiki,100,4.81,0.0,0,0,100,0.0,0.0,0.75,1
tiki_7067673,tiki,100,4.48,0.0,0,0,100,0.0,0.0,0.75,1
tiki_704169,tiki,100,4.3,0.0,0,0,100,0.0,0.0,0.75,1
tiki_36106566,tiki,100,3.71,0.0,0,0,100,0.0,0.0,0.75,1
tiki_361279,tiki,100,4.61,0.0,0,0,100,0.0,0.0,0.75,1
tiki_37130044,tiki,100,4.45,0.0,0,0,100,0.0,0.0,0.75,1
tiki_6915413,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_69238917,tiki,100,4.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_361787,tiki,100,4.41,0.0,0,0,100,0.0,0.0,0.75,1
tiki_561953,tiki,100,4.91,0.0,0,0,100,0.0,0.0,0.75,1
tiki_561957,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_181185263,tiki,99,4.797979797979798,0.0,0,0,99,0.0,0.0,0.75,1
tiki_179688143,tiki,98,4.775510204081633,0.0,0,0,98,0.0,0.0,0.75,1
